image,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_y,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\9ef25eb8-f603-4768-9fe3-9d668abd8c58.jpg,0.61468256,0.19793469,0.6283352,0.18233219,0.6047609,0.17758709,0.6427561,0.18333262,0.585194,0.17076655,0.65269667,0.2672897,0.5479975,0.25715226,0.6573974,0.40129927,0.5166005,0.39569524,0.65023655,0.48731062,0.498975,0.498975,0.62564605,0.5066105,0.55556065,0.5038102,0.0,0.0,0.5449996,0.66228235,0.0,0.0,0.0,0.0
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\image.png,0.38541007,0.44307357,0.38466245,0.42976797,0.37623635,0.43307427,0.0,0.0,0.35046396,0.4428329,0.33863267,0.4915738,0.3474114,0.5102245,0.36300248,0.5417784,0.4036913,0.56207865,0.41434863,0.55132395,0.5226554,0.5226554,0.3002143,0.64820683,0.30688843,0.66050524,0.33641878,0.7173836,0.3716308,0.7376097,0.29841977,0.81695086,0.35084212,0.8388718
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\istockphoto-1189969126-612x612.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5954245,0.4343059,0.5773103,0.45387825,0.5998847,0.45302394,0.57082564,0.48160338,0.6093559,0.4806656,0.5727204,0.5052743,0.505809,0.505809,0.58352935,0.5055417,0.5976179,0.50556165,0.5890221,0.54624164,0.59841245,0.5459037,0.59231186,0.57843226,0.5959809,0.5781905
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\les-randonneurs-d-aider-les-uns-les-autres-brn803.jpg,0.0,0.0,0.51804954,0.2318175,0.0,0.0,0.5613581,0.21477774,0.0,0.0,0.6109655,0.26528886,0.75462383,0.26321778,0.65600586,0.37162867,0.67727226,0.2919849,0.58986425,0.5089511,0.29921114,0.29921114,0.7420736,0.484157,0.88008565,0.48810437,0.47791505,0.6210535,0.82233596,0.6712491,0.40467814,0.8228944,0.8773335,0.8910292
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\les_randonneurs.jpg,0.21474262,0.48922497,0.21332508,0.44643745,0.18378915,0.47117254,0.0,0.0,0.1159476,0.5087776,0.26067293,0.6202136,0.05078418,0.6647338,0.30802354,0.8852074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\pexels-eric-sanman-1365425.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5779736,0.36558202,0.54540414,0.3862725,0.58309853,0.38840088,0.53202605,0.42613184,0.5957557,0.43411252,0.5381143,0.45659617,0.47008952,0.47008952,0.5492266,0.47470212,0.5743491,0.4751873,0.5541293,0.54557353,0.581225,0.54482895,0.55360544,0.61124545,0.58133507,0.61298454
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\photo-association-randonneurs-de-montrichard-scaled.jpg,0.3558451,0.30700284,0.35878387,0.30112144,0.35054815,0.3008,0.0,0.0,0.34007883,0.30389565,0.35782638,0.34011653,0.33510387,0.34024265,0.0,0.0,0.33545297,0.39280376,0.0,0.0,0.44592533,0.44592533,0.3557397,0.42992026,0.34155172,0.43065885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\quand-randonner-mois-de-l-annee.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.47720402,0.21234418,0.5183816,0.21411699,0.4574457,0.29715458,0.53721404,0.30209014,0.43575543,0.40869287,0.5770572,0.3872107,0.40596265,0.43232954,0.4103595,0.4103595,0.49105662,0.5013213,0.5400009,0.5127913,0.49402732,0.612963,0.5482164,0.6667666,0.5018604,0.731313,0.5374114,0.8215377
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\rando.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3519641,0.3548437,0.30887288,0.39563534,0.36026177,0.39837655,0.29084727,0.4569554,0.3735532,0.4516143,0.31133872,0.47934407,0.47773266,0.47773266,0.32258698,0.5241434,0.35565495,0.526316,0.33460358,0.63559645,0.3636665,0.62962365,0.33891377,0.7474744,0.35750228,0.731872
D:\Folders\Code\Python\AttendancePNE-OFB\datasets\Randonneurs\Randonneur-Omnivore-1024x682.jpg,0.37657523,0.2810655,0.3810318,0.27269846,0.37249509,0.2679092,0.0,0.0,0.35093778,0.26073506,0.3649961,0.32495984,0.31365308,0.31109452,0.35464674,0.41053307,0.27987537,0.39212686,0.3599368,0.47417292,0.4602893,0.4602893,0.35020426,0.4734798,0.31129324,0.47044265,0.37508935,0.5893921,0.29865506,0.5832644,0.37826818,0.70478565,0.28271192,0.70462364
